customerid,Recency,Frequency,Monetary,R,F,M,RFM,Segment
235758,31,0.31,0,3,4,1,341,Potential Loyalists
214484,31,0.31,0,3,4,1,341,Potential Loyalists
267349,31,0.32,0,3,4,1,341,Potential Loyalists
282119,31,0.32,0,3,4,1,341,Potential Loyalists
306300,31,0.33,0,3,4,1,341,Potential Loyalists
355108,31,0.35,0,3,4,1,341,Potential Loyalists
401872,31,0.36,0,3,4,1,341,Potential Loyalists
411239,10,0.37,0,4,4,1,441,Potential Loyalists
434512,31,0.38,0,3,4,1,341,Potential Loyalists
550911,31,0.41,0,3,4,1,341,Potential Loyalists
571399,31,0.42,0,3,4,1,341,Potential Loyalists
867840,47,0.49,0,3,4,1,341,Potential Loyalists
758141,62,0.23,0,2,3,1,231,Need Attention
850060,43,0.24,0,3,3,1,331,Potential Loyalists
839005,51,0.24,0,3,3,1,331,Potential Loyalists
779898,62,0.24,0,2,3,1,231,Need Attention
847119,1,0.24,0,4,3,1,431,Potential Loyalists
847826,3,0.24,0,4,3,1,431,Potential Loyalists
782537,5,0.24,0,4,3,1,431,Potential Loyalists
819089,14,0.24,0,4,3,1,431,Potential Loyalists
808246,16,0.24,0,4,3,1,431,Potential Loyalists
810816,31,0.24,0,3,3,1,331,Potential Loyalists
829474,31,0.24,0,3,3,1,331,Potential Loyalists
841612,76,0.24,0,2,3,1,231,Need Attention
781640,92,0.24,0,1,3,1,131,Need Attention
784855,92,0.24,0,1,3,1,131,Need Attention
806663,92,0.24,0,1,3,1,131,Need Attention
909670,68,0.25,0,2,3,1,231,Need Attention
912349,75,0.25,0,2,3,1,231,Need Attention
919617,77,0.25,0,2,3,1,231,Need Attention
870797,81,0.25,0,2,3,1,231,Need Attention
916721,4,0.25,0,4,3,1,431,Potential Loyalists
869319,5,0.25,0,4,3,1,431,Potential Loyalists
882787,13,0.25,0,4,3,1,431,Potential Loyalists
854237,13,0.25,0,4,3,1,431,Potential Loyalists
875051,15,0.25,0,4,3,1,431,Potential Loyalists
913641,16,0.25,0,4,3,1,431,Potential Loyalists
890211,27,0.25,0,4,3,1,431,Potential Loyalists
855918,31,0.25,0,3,3,1,331,Potential Loyalists
